Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return,Cumulative_Return
2024-05-01 00:00:00-04:00,2024-05-20 00:00:00-04:00,82.99864959716797,94.73168182373047,0.1413641340372223,1.1413641340372223
2024-05-21 00:00:00-04:00,2024-06-20 00:00:00-04:00,95.33735656738281,130.72406005859375,0.3711735332854569,1.565008292433114
2024-08-13 00:00:00-04:00,2024-08-30 00:00:00-04:00,116.0903091430664,119.31893157958984,0.027811300188240302,1.6085332078510566
2024-09-13 00:00:00-04:00,2024-09-25 00:00:00-04:00,119.0592269897461,123.46772003173828,0.037027731100352825,1.6680935429373536
2024-10-02 00:00:00-04:00,2024-10-18 00:00:00-04:00,118.80931854248047,137.9527587890625,0.16112743075567143,1.9368691697709746
2024-10-21 00:00:00-04:00,2024-10-22 00:00:00-04:00,143.6608123779297,143.5408477783203,-0.0008350544426393966,1.935251778565946
2024-11-12 00:00:00-05:00,2024-11-13 00:00:00-05:00,148.23922729492188,146.2199249267578,-0.013621916445548258,1.9088899405372222
2024-11-18 00:00:00-05:00,2024-11-22 00:00:00-05:00,140.1020050048828,141.90138244628906,0.01284333826160117,1.9334064597477094
2024-12-10 00:00:00-05:00,2024-12-13 00:00:00-05:00,135.03306579589844,134.21328735351562,-0.006070945938692542,1.9216688536530622
2024-12-24 00:00:00-05:00,2024-12-26 00:00:00-05:00,140.18165588378906,139.89173889160156,-0.0020681521441567353,1.9176945500930203
2024-12-27 00:00:00-05:00,2025-01-08 00:00:00-05:00,136.9725341796875,140.0717010498047,0.022626192095208983,1.9610846753633602
2025-01-23 00:00:00-05:00,2025-01-27 00:00:00-05:00,147.17974853515625,118.38761901855469,-0.19562561971441403,1.5774462704329624
2025-01-28 00:00:00-05:00,2025-02-24 00:00:00-05:00,128.95472717285156,130.244384765625,0.010000855502138932,1.5932220826459504
2025-03-13 00:00:00-04:00,2025-03-14 00:00:00-04:00,115.55902862548828,121.64791870117188,0.052690734320871555,1.677170124116794
2025-03-17 00:00:00-04:00,2025-03-18 00:00:00-04:00,119.50830841064453,115.4090576171875,-0.034300969095567194,1.6196415635214552
2025-03-24 00:00:00-04:00,2025-03-26 00:00:00-04:00,121.38796997070312,113.7393569946289,-0.06300964566686637,1.5175885224966388
2025-04-01 00:00:00-04:00,2025-04-03 00:00:00-04:00,110.13001251220703,101.78153228759766,-0.07580567761838775,1.4025466962028932
2025-04-10 00:00:00-04:00,2025-05-29 00:00:00-04:00,107.55047607421875,139.1647491455078,0.29394823923859337,1.8148228280016399
2025-06-24 00:00:00-04:00,2025-07-14 00:00:00-04:00,147.88340759277344,164.05162048339844,0.10933081103423996,2.013238879670512
2025-07-16 00:00:00-04:00,2025-07-17 00:00:00-04:00,171.35079956054688,172.98062133789062,0.009511608825425129,2.032388020366075
2025-08-05 00:00:00-04:00,2025-08-06 00:00:00-04:00,178.24002075195312,179.39988708496094,0.00650732830996432,2.0456134364678356
2025-08-08 00:00:00-04:00,2025-08-11 00:00:00-04:00,182.6795196533203,182.0395965576172,-0.0035029821455494175,2.038447689123193
2025-08-12 00:00:00-04:00,2025-08-19 00:00:00-04:00,183.1394805908203,175.6203155517578,-0.041057040321426964,1.9547550601577424
2025-08-20 00:00:00-04:00,2025-08-29 00:00:00-04:00,175.38034057617188,174.1604766845703,-0.006955533827759597,1.941158695211831
2025-09-03 00:00:00-04:00,2025-09-08 00:00:00-04:00,170.60089111328125,168.2911376953125,-0.013538929385984527,1.914877484710368
2025-09-09 00:00:00-04:00,2025-09-10 00:00:00-04:00,170.74085998535156,177.3101348876953,0.03847511897800767,1.9885526237629076
2025-09-22 00:00:00-04:00,2025-09-23 00:00:00-04:00,183.5997772216797,178.42005920410156,-0.02821200600545444,1.9324515651991463
2025-09-26 00:00:00-04:00,2025-09-29 00:00:00-04:00,178.18008422851562,181.8398895263672,0.020539923491998516,1.9721439725003296
2025-09-30 00:00:00-04:00,2025-10-06 00:00:00-04:00,186.56961059570312,185.5296630859375,-0.00557404556103831,1.9611511521446856
2025-10-08 00:00:00-04:00,2025-10-09 00:00:00-04:00,189.09947204589844,192.5592803955078,0.018296234844958247,1.9970328341907853
2025-10-28 00:00:00-04:00,2025-10-31 00:00:00-04:00,201.01881408691406,202.47872924804688,0.007262579713069007,2.011536444338712
2025-11-18 00:00:00-05:00,2025-12-10 00:00:00-05:00,181.3498992919922,183.77999877929688,0.013400059756261429,2.0384911528947485
2025-12-11 00:00:00-05:00,2025-12-15 00:00:00-05:00,180.92999267578125,176.2899932861328,-0.02564527484375195,1.986213487012206
2025-12-16 00:00:00-05:00,2025-12-17 00:00:00-05:00,177.72000122070312,170.94000244140625,-0.03814989158635597,1.9104396578153322
