Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return,Cumulative_Return
2024-04-12 00:00:00-04:00,2024-04-15 00:00:00-04:00,175.1214599609375,171.29266357421875,-0.021863661869726297,0.9781363381302737
2024-05-02 00:00:00-04:00,2024-05-03 00:00:00-04:00,171.62994384765625,181.89617919921875,0.059816108549654426,1.0366446475082356
2024-05-14 00:00:00-04:00,2024-05-16 00:00:00-04:00,186.1655731201172,188.55931091308594,0.012858112017436595,1.0499739405081727
2024-05-17 00:00:00-04:00,2024-05-30 00:00:00-04:00,188.589111328125,189.99954223632812,0.007478856537741064,1.0578265449776
2024-05-31 00:00:00-04:00,2024-06-21 00:00:00-04:00,190.95306396484375,206.09027099609375,0.07927187297731396,1.141682436483095
2024-07-08 00:00:00-04:00,2024-07-23 00:00:00-04:00,226.28311157226562,223.4920654296875,-0.012334310427257751,1.1276005709021646
2024-08-06 00:00:00-04:00,2024-09-03 00:00:00-04:00,205.83200073242188,221.52330017089844,0.07623352725835371,1.21356153976057
2024-09-09 00:00:00-04:00,2024-09-20 00:00:00-04:00,219.6737060546875,226.92288208007812,0.032999743827265116,1.2536087596912902
2024-10-04 00:00:00-04:00,2024-10-18 00:00:00-04:00,225.53074645996094,233.68484497070312,0.03615515240707903,1.298933175456778
2024-10-21 00:00:00-04:00,2024-10-28 00:00:00-04:00,235.1565704345703,232.09378051757812,-0.013024470935820076,1.282015258065469
2024-10-29 00:00:00-04:00,2024-10-30 00:00:00-04:00,232.36228942871094,228.81227111816406,-0.01527794514021616,1.2624286992838245
2024-11-14 00:00:00-05:00,2024-12-18 00:00:00-05:00,227.19247436523438,246.9331817626953,0.08688979444682572,1.3721208694683695
2024-12-20 00:00:00-05:00,2025-01-07 00:00:00-05:00,253.34420776367188,241.11949157714844,-0.04825338733588522,1.3059113896822607
2025-01-29 00:00:00-05:00,2025-01-30 00:00:00-05:00,238.28231811523438,236.520263671875,-0.007394818286547127,1.2962544122572282
2025-02-14 00:00:00-05:00,2025-02-21 00:00:00-05:00,243.76644897460938,244.71319580078125,0.0038838274510471613,1.3012888407270937
2025-02-24 00:00:00-05:00,2025-02-27 00:00:00-05:00,246.25791931152344,236.49131774902344,-0.0396600506891515,1.24967965934263
2025-03-24 00:00:00-04:00,2025-04-04 00:00:00-04:00,219.97779846191406,187.738037109375,-0.1465591599605035,1.066527658249646
2025-04-11 00:00:00-04:00,2025-04-14 00:00:00-04:00,197.4747314453125,201.829833984375,0.02205397372710734,1.090048831203917
2025-04-21 00:00:00-04:00,2025-05-28 00:00:00-04:00,192.50172424316406,199.99893188476562,0.038946184357970995,1.1325020739431755
2025-06-26 00:00:00-04:00,2025-06-27 00:00:00-04:00,200.5777130126953,200.6575469970703,0.000398020214588582,1.1329528326616682
2025-06-30 00:00:00-04:00,2025-07-01 00:00:00-04:00,204.7389373779297,207.3833770751953,0.012916154255427373,1.1475862262124499
2025-07-02 00:00:00-04:00,2025-07-07 00:00:00-04:00,211.99366760253906,209.50889587402344,-0.011720971463988506,1.1341354008025475
2025-07-09 00:00:00-04:00,2025-07-15 00:00:00-04:00,210.69639587402344,208.67066955566406,-0.009614432700455722,1.123231332318327
2025-08-12 00:00:00-04:00,2025-08-22 00:00:00-04:00,229.42758178710938,227.53941345214844,-0.00822990993608174,1.113987239615962
2025-08-26 00:00:00-04:00,2025-09-18 00:00:00-04:00,229.08792114257812,237.64962768554688,0.037373016003057515,1.1556203025493312
2025-09-19 00:00:00-04:00,2025-10-06 00:00:00-04:00,245.26223754882812,256.44140625,0.04558047261126477,1.2082940220987024
2025-10-07 00:00:00-04:00,2025-10-09 00:00:00-04:00,256.23162841796875,253.79396057128906,-0.0095135321963584,1.196798878016799
2025-10-24 00:00:00-04:00,2025-10-31 00:00:00-04:00,262.56549072265625,270.108154296875,0.028726789470539926,1.231179067424166
2025-12-01 00:00:00-05:00,2025-12-04 00:00:00-05:00,283.1000061035156,280.70001220703125,-0.008477548020987383,1.2207416877576431
2025-12-05 00:00:00-05:00,2025-12-08 00:00:00-05:00,278.7799987792969,277.8900146484375,-0.003192424617104447,1.21684456194252
